K0_number	Gene_identification	Label
K11836	USP5_13, UBP14; ubiquitin carboxyl-terminal hydrolase 5/13 [EC:3.4.19.12]	USP5_13, UBP14; ubiquitin carboxyl-terminal hydrolase 5/13 [EC:3.4.19.12]
K14018	PLAA, DOA1, UFD3; phospholipase A-2-activating protein	PLAA, DOA1, UFD3; phospholipase A-2-activating protein
K14007	SEC24; protein transport protein SEC24	SEC24; protein transport protein SEC24
K03217	yidC, spoIIIJ, OXA1, ccfA; YidC/Oxa1 family membrane protein insertase	yidC, spoIIIJ, OXA1, ccfA; YidC/Oxa1 family membrane protein insertase
K01887	RARS, argS; arginyl-tRNA synthetase [EC:6.1.1.19]	RARS, argS; arginyl-tRNA synthetase [EC:6.1.1.19]
K05656	ABCB9, TAPL; ATP-binding cassette, subfamily B (MDR/TAP), member 9	ABCB9, TAPL; ATP-binding cassette, subfamily B (MDR/TAP), member 9
K05546	GANAB; alpha 1,3-glucosidase [EC:3.2.1.84]	GANAB; alpha 1,3-glucosidase [EC:3.2.1.84]
K13704	ABHD12; abhydrolase domain-containing protein 12 [EC:3.1.1.23]	ABHD12; abhydrolase domain-containing protein 12 [EC:3.1.1.23]
K01674	cah; carbonic anhydrase [EC:4.2.1.1]	cah; carbonic anhydrase [EC:4.2.1.1]
K12855	PRPF6, PRP6; pre-mRNA-processing factor 6	PRPF6, PRP6; pre-mRNA-processing factor 6
K00133	asd; aspartate-semialdehyde dehydrogenase [EC:1.2.1.11]	asd; aspartate-semialdehyde dehydrogenase [EC:1.2.1.11]
K06816	GLG1, ESL1; golgi apparatus protein 1	GLG1, ESL1; golgi apparatus protein 1
K11000	CALS; callose synthase [EC:2.4.1.-]	CALS; callose synthase [EC:2.4.1.-]
K13524	ABAT; 4-aminobutyrate aminotransferase / (S)-3-amino-2-methylpropionate transaminase [EC:2.6.1.19 2.6.1.22]	ABAT; 4-aminobutyrate aminotransferase / (S)-3-amino-2-methylpropionate transaminase [EC:2.6.1.19 2.6.1.22]
K06111	EXOC4, SEC8; exocyst complex component 4	EXOC4, SEC8; exocyst complex component 4
K03235	EF3, TEF3; elongation factor 3	EF3, TEF3; elongation factor 3
K01602	rbcS; ribulose-bisphosphate carboxylase small chain [EC:4.1.1.39]	Calvin cycle
K01602	rbcS; ribulose-bisphosphate carboxylase small chain [EC:4.1.1.39]	rbcS; ribulose-bisphosphate carboxylase small chain [EC:4.1.1.39]
K00249	ACADM, acd; acyl-CoA dehydrogenase [EC:1.3.8.7]	ACADM, acd; acyl-CoA dehydrogenase [EC:1.3.8.7]
K00249	ACADM, acd; acyl-CoA dehydrogenase [EC:1.3.8.7]	Fatty acid breakdown
K17255	GDI1_2; Rab GDP dissociation inhibitor	GDI1_2; Rab GDP dissociation inhibitor
K00799	GST, gst; glutathione S-transferase [EC:2.5.1.18]	GST, gst; glutathione S-transferase [EC:2.5.1.18]
K13982	DDX4, VASA; probable ATP-dependent RNA helicase DDX4 [EC:3.6.4.13]	DDX4, VASA; probable ATP-dependent RNA helicase DDX4 [EC:3.6.4.13]
K00558	DNMT1, dcm; DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37]	DNMT1, dcm; DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37]
K02896	RP-L24e, RPL24; large subunit ribosomal protein L24e	RP-L24e, RPL24; large subunit ribosomal protein L24e
K06639	CDC14; cell division cycle 14 [EC:3.1.3.16 3.1.3.48]	CDC14; cell division cycle 14 [EC:3.1.3.16 3.1.3.48]
K04564	SOD2; superoxide dismutase, Fe-Mn family [EC:1.15.1.1]	SOD2; superoxide dismutase, Fe-Mn family [EC:1.15.1.1]
K12852	EFTUD2; 116 kDa U5 small nuclear ribonucleoprotein component	EFTUD2; 116 kDa U5 small nuclear ribonucleoprotein component
K00602	purH; phosphoribosylaminoimidazolecarboxamide formyltransferase / IMP cyclohydrolase [EC:2.1.2.3 3.5.4.10]	purH; phosphoribosylaminoimidazolecarboxamide formyltransferase / IMP cyclohydrolase [EC:2.1.2.3 3.5.4.10]
K04040	chlG, bchG; chlorophyll/bacteriochlorophyll a synthase [EC:2.5.1.62 2.5.1.133]	chlG, bchG; chlorophyll/bacteriochlorophyll a synthase [EC:2.5.1.62 2.5.1.133]
K16726	ANKRD17, MASK; ankyrin repeat domain-containing protein 17	ANKRD17, MASK; ankyrin repeat domain-containing protein 17
K03234	EEF2; elongation factor 2	EEF2; elongation factor 2
K13174	THOC5; THO complex subunit 5	THOC5; THO complex subunit 5
K13621	BTA1; betaine lipid synthase	BTA1; betaine lipid synthase
K04077	groEL, HSPD1; chaperonin GroEL	groEL, HSPD1; chaperonin GroEL
K01958	PC, pyc; pyruvate carboxylase [EC:6.4.1.1]	PC, pyc; pyruvate carboxylase [EC:6.4.1.1]
K01681	ACO, acnA; aconitate hydratase [EC:4.2.1.3]	ACO, acnA; aconitate hydratase [EC:4.2.1.3]
K01681	ACO, acnA; aconitate hydratase [EC:4.2.1.3]	TCA cycle
K01681	ACO, acnA; aconitate hydratase [EC:4.2.1.3]	Glyoxylate cycle
K13993	HSP20; HSP20 family protein	HSP20; HSP20 family protein
K02355	fusA, GFM, EFG; elongation factor G	fusA, GFM, EFG; elongation factor G
K01373	CTSF; cathepsin F [EC:3.4.22.41]	Lysosome associated
K10583	UBE2S, E2EPF; ubiquitin-conjugating enzyme E2 S [EC:2.3.2.23]	UBE2S, E2EPF; ubiquitin-conjugating enzyme E2 S [EC:2.3.2.23]
K10356	MYO1; myosin I	MYO1; myosin I
K02548	menA; 1,4-dihydroxy-2-naphthoate octaprenyltransferase [EC:2.5.1.74 2.5.1.-]	menA; 1,4-dihydroxy-2-naphthoate octaprenyltransferase [EC:2.5.1.74 2.5.1.-]
K14292	TGS1; trimethylguanosine synthase [EC:2.1.1.-]	TGS1; trimethylguanosine synthase [EC:2.1.1.-]
K05917	CYP51; sterol 14-demethylase [EC:1.14.13.70]	CYP51; sterol 14-demethylase [EC:1.14.13.70]
K07573	CSL4, EXOSC1; exosome complex component CSL4	CSL4, EXOSC1; exosome complex component CSL4
K01127	E3.1.4.50; glycosylphosphatidylinositol phospholipase D [EC:3.1.4.50]	E3.1.4.50; glycosylphosphatidylinositol phospholipase D [EC:3.1.4.50]
K07901	RAB8A, MEL; Ras-related protein Rab-8A	RAB8A, MEL; Ras-related protein Rab-8A
K02321	POLA2; DNA polymerase alpha subunit B	POLA2; DNA polymerase alpha subunit B
K00616	E2.2.1.2, talA, talB; transaldolase [EC:2.2.1.2]	E2.2.1.2, talA, talB; transaldolase [EC:2.2.1.2]
K10406	KIFC2_3; kinesin family member C2/C3	KIFC2_3; kinesin family member C2/C3
K11654	SMARCA5, SNF2H, ISWI; SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 5 [EC:3.6.4.-]	SMARCA5, SNF2H, ISWI; SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 5 [EC:3.6.4.-]
K18663	ASCC3; activating signal cointegrator complex subunit 3 [EC:3.6.4.12]	ASCC3; activating signal cointegrator complex subunit 3 [EC:3.6.4.12]
K06890	K06890; uncharacterized protein	K06890; uncharacterized protein
K14050	RABGGTA; geranylgeranyl transferase type-2 subunit alpha [EC:2.5.1.60]	RABGGTA; geranylgeranyl transferase type-2 subunit alpha [EC:2.5.1.60]
K19751	DNAAF2, KTU, PF13; dynein assembly factor 2, axonemal	DNAAF2, KTU, PF13; dynein assembly factor 2, axonemal
K06636	SMC1; structural maintenance of chromosome 1	SMC1; structural maintenance of chromosome 1
K08907	LHCA1; light-harvesting complex I chlorophyll a/b binding protein 1	LHCA1; light-harvesting complex I chlorophyll a/b binding protein 1
K02516	PRMT5, HSL7; type II protein arginine methyltransferase [EC:2.1.1.320]	PRMT5, HSL7; type II protein arginine methyltransferase [EC:2.1.1.320]
K03017	RPB9, POLR2I; DNA-directed RNA polymerase II subunit RPB9	RPB9, POLR2I; DNA-directed RNA polymerase II subunit RPB9
K14011	UBXN6, UBXD1; UBX domain-containing protein 6	UBXN6, UBXD1; UBX domain-containing protein 6
K14709	SLC39A1_2_3, ZIP1_2_3; solute carrier family 39 (zinc transporter), member 1/2/3	SLC39A1_2_3, ZIP1_2_3; solute carrier family 39 (zinc transporter), member 1/2/3
K02918	RP-L35e, RPL35; large subunit ribosomal protein L35e	RP-L35e, RPL35; large subunit ribosomal protein L35e
K06258	SV2; MFS transporter, VNT family, synaptic vesicle glycoprotein 2	SV2; MFS transporter, VNT family, synaptic vesicle glycoprotein 2
K02541	MCM3; DNA replication licensing factor MCM3 [EC:3.6.4.12]	MCM3; DNA replication licensing factor MCM3 [EC:3.6.4.12]
K00921	PIKFYVE, FAB1; 1-phosphatidylinositol-3-phosphate 5-kinase [EC:2.7.1.150]	PIKFYVE, FAB1; 1-phosphatidylinositol-3-phosphate 5-kinase [EC:2.7.1.150]
K05215	P2RX1; P2X purinoceptor 1	P2RX1; P2X purinoceptor 1
K10512	ZBTB40; zinc finger and BTB domain-containing protein 40	ZBTB40; zinc finger and BTB domain-containing protein 40
K12843	PRPF3, PRP3; U4/U6 small nuclear ribonucleoprotein PRP3	PRPF3, PRP3; U4/U6 small nuclear ribonucleoprotein PRP3
K01764	E4.4.1.17; cytochrome c heme-lyase [EC:4.4.1.17]	E4.4.1.17; cytochrome c heme-lyase [EC:4.4.1.17]
K02902	RP-L28, MRPL28, rpmB; large subunit ribosomal protein L28	RP-L28, MRPL28, rpmB; large subunit ribosomal protein L28
K19756	RSPH4A; radial spoke head protein 4A	RSPH4A; radial spoke head protein 4A
K10365	CAPZB; capping protein (actin filament) muscle Z-line, beta	CAPZB; capping protein (actin filament) muscle Z-line, beta
K11262	ACACA; acetyl-CoA carboxylase / biotin carboxylase 1 [EC:6.4.1.2 6.3.4.14]	Fatty acid biosynthesis
K02540	MCM2; DNA replication licensing factor MCM2 [EC:3.6.4.12]	MCM2; DNA replication licensing factor MCM2 [EC:3.6.4.12]
K06142	hlpA, ompH; outer membrane protein	hlpA, ompH; outer membrane protein
K11599	POMP, UMP1; proteasome maturation protein	POMP, UMP1; proteasome maturation protein
K10704	UBE2V; ubiquitin-conjugating enzyme E2 variant	UBE2V; ubiquitin-conjugating enzyme E2 variant
K09578	PIN1; peptidyl-prolyl cis-trans isomerase NIMA-interacting 1 [EC:5.2.1.8]	PIN1; peptidyl-prolyl cis-trans isomerase NIMA-interacting 1 [EC:5.2.1.8]
K13719	OTU1, YOD1; ubiquitin thioesterase OTU1 [EC:3.1.2.-]	OTU1, YOD1; ubiquitin thioesterase OTU1 [EC:3.1.2.-]
K09586	ERP29; endoplasmic reticulum protein 29	ERP29; endoplasmic reticulum protein 29
K09273	UBTF; upstream-binding transcription factor	UBTF; upstream-binding transcription factor
K08714	VGSC; voltage-gated sodium channel	VGSC; voltage-gated sodium channel
K00264	GLT1; glutamate synthase (NADPH/NADH) [EC:1.4.1.13 1.4.1.14]	GS/GOGAT
K00962	pnp, PNPT1; polyribonucleotide nucleotidyltransferase [EC:2.7.7.8]	pnp, PNPT1; polyribonucleotide nucleotidyltransferase [EC:2.7.7.8]
K17781	TIM13; mitochondrial import inner membrane translocase subunit TIM13	TIM13; mitochondrial import inner membrane translocase subunit TIM13
K06961	KRR1; ribosomal RNA assembly protein	KRR1; ribosomal RNA assembly protein
K17570	HYDIN; hydrocephalus-inducing protein	HYDIN; hydrocephalus-inducing protein
K15283	SLC35E1; solute carrier family 35, member E1	SLC35E1; solute carrier family 35, member E1
K01186	NEU1; sialidase-1 [EC:3.2.1.18]	NEU1; sialidase-1 [EC:3.2.1.18]
K01275	CTSC; cathepsin C [EC:3.4.14.1]	Lysosome associated
K15285	SLC35E3; solute carrier family 35, member E3	SLC35E3; solute carrier family 35, member E3
K09493	CCT1, TCP1; T-complex protein 1 subunit alpha	CCT1, TCP1; T-complex protein 1 subunit alpha
K18183	COX19; cytochrome c oxidase assembly protein subunit 19	COX19; cytochrome c oxidase assembly protein subunit 19
K07575	K07575; PUA domain protein	K07575; PUA domain protein
K02867	RP-L11, MRPL11, rplK; large subunit ribosomal protein L11	RP-L11, MRPL11, rplK; large subunit ribosomal protein L11
K02950	RP-S12, MRPS12, rpsL; small subunit ribosomal protein S12	RP-S12, MRPS12, rpsL; small subunit ribosomal protein S12
K02739	PSMB7; 20S proteasome subunit beta 2 [EC:3.4.25.1]	PSMB7; 20S proteasome subunit beta 2 [EC:3.4.25.1]
K10754	RFC1; replication factor C subunit 1	RFC1; replication factor C subunit 1
K04554	UBE2J2, NCUBE2, UBC6; ubiquitin-conjugating enzyme E2 J2 [EC:2.3.2.23]	UBE2J2, NCUBE2, UBC6; ubiquitin-conjugating enzyme E2 J2 [EC:2.3.2.23]
K14951	ATP13A3_4_5; cation-transporting ATPase 13A3/4/5 [EC:3.6.3.-]	ATP13A3_4_5; cation-transporting ATPase 13A3/4/5 [EC:3.6.3.-]
K03130	TAF5; transcription initiation factor TFIID subunit 5	TAF5; transcription initiation factor TFIID subunit 5
K13800	CMPK1, UMPK; UMP-CMP kinase [EC:2.7.4.- 2.7.4.14]	CMPK1, UMPK; UMP-CMP kinase [EC:2.7.4.- 2.7.4.14]
K00167	BCKDHB, bkdA2; 2-oxoisovalerate dehydrogenase E1 component beta subunit [EC:1.2.4.4]	BCKDHB, bkdA2; 2-oxoisovalerate dehydrogenase E1 component beta subunit [EC:1.2.4.4]
K02736	PSMB4; 20S proteasome subunit beta 7 [EC:3.4.25.1]	PSMB4; 20S proteasome subunit beta 7 [EC:3.4.25.1]
K10352	MYH; myosin heavy chain	MYH; myosin heavy chain
K11275	H1_5; histone H1/5	H1_5; histone H1/5
K13297	PTPRT; receptor-type tyrosine-protein phosphatase T [EC:3.1.3.48]	PTPRT; receptor-type tyrosine-protein phosphatase T [EC:3.1.3.48]
K14016	UFD1; ubiquitin fusion degradation protein 1	UFD1; ubiquitin fusion degradation protein 1
K02932	RP-L5e, RPL5; large subunit ribosomal protein L5e	RP-L5e, RPL5; large subunit ribosomal protein L5e
K09540	SEC63, DNAJC23; translocation protein SEC63	SEC63, DNAJC23; translocation protein SEC63
K15747	LUT5, CYP97A3; beta-ring hydroxylase [EC:1.14.-.-]	LUT5, CYP97A3; beta-ring hydroxylase [EC:1.14.-.-]
K19752	DNAAF3, PF22; dynein assembly factor 3, axonemal	DNAAF3, PF22; dynein assembly factor 3, axonemal
K13293	PDE4; cAMP-specific phosphodiesterase 4 [EC:3.1.4.53]	PDE4; cAMP-specific phosphodiesterase 4 [EC:3.1.4.53]
K13205	AAR2, C20orf4; A1 cistron-splicing factor AAR2	AAR2, C20orf4; A1 cistron-splicing factor AAR2
K13755	PDE1; calcium/calmodulin-dependent 3',5'-cyclic nucleotide phosphodiesterase [EC:3.1.4.17]	PDE1; calcium/calmodulin-dependent 3',5'-cyclic nucleotide phosphodiesterase [EC:3.1.4.17]
K14326	UPF1, RENT1; regulator of nonsense transcripts 1 [EC:3.6.4.-]	UPF1, RENT1; regulator of nonsense transcripts 1 [EC:3.6.4.-]
K15437	AIMP1, ARC1; aminoacyl tRNA synthase complex-interacting multifunctional protein 1	AIMP1, ARC1; aminoacyl tRNA synthase complex-interacting multifunctional protein 1
K09512	DNAJB6; DnaJ homolog subfamily B member 6	DNAJB6; DnaJ homolog subfamily B member 6
K03164	TOP2; DNA topoisomerase II [EC:5.99.1.3]	TOP2; DNA topoisomerase II [EC:5.99.1.3]
K02357	tsf, TSFM; elongation factor Ts	tsf, TSFM; elongation factor Ts
K02703	psbA; photosystem II P680 reaction center D1 protein [EC:1.10.3.9]	Photosynthesis
K09571	FKBP4_5; FK506-binding protein 4/5 [EC:5.2.1.8]	FKBP4_5; FK506-binding protein 4/5 [EC:5.2.1.8]
K01110	PTEN; phosphatidylinositol-3,4,5-trisphosphate 3-phosphatase and dual-specificity protein phosphatase PTEN [EC:3.1.3.16 3.1.3.48 3.1.3.67]	PTEN; phosphatidylinositol-3,4,5-trisphosphate 3-phosphatase and dual-specificity protein phosphatase PTEN [EC:3.1.3.16 3.1.3.48 3.1.3.67]
K15710	SHPRH; E3 ubiquitin-protein ligase SHPRH [EC:3.6.4.- 2.3.2.27]	SHPRH; E3 ubiquitin-protein ligase SHPRH [EC:3.6.4.- 2.3.2.27]
K00970	pcnB; poly(A) polymerase [EC:2.7.7.19]	pcnB; poly(A) polymerase [EC:2.7.7.19]
K14213	PEPD; Xaa-Pro dipeptidase [EC:3.4.13.9]	PEPD; Xaa-Pro dipeptidase [EC:3.4.13.9]
K10960	chlP, bchP; geranylgeranyl diphosphate/geranylgeranyl-bacteriochlorophyllide a reductase [EC:1.3.1.83 1.3.1.111]	chlP, bchP; geranylgeranyl diphosphate/geranylgeranyl-bacteriochlorophyllide a reductase [EC:1.3.1.83 1.3.1.111]
K03238	EIF2S2; translation initiation factor 2 subunit 2	EIF2S2; translation initiation factor 2 subunit 2
K06497	CD63, MLA1, TSPAN30; CD63 antigen	CD63, MLA1, TSPAN30; CD63 antigen
K02641	petH; ferredoxin--NADP+ reductase [EC:1.18.1.2]	petH; ferredoxin--NADP+ reductase [EC:1.18.1.2]
K10595	HERC2; E3 ubiquitin-protein ligase HERC2 [EC:2.3.2.26]	HERC2; E3 ubiquitin-protein ligase HERC2 [EC:2.3.2.26]
K01074	PPT; palmitoyl-protein thioesterase [EC:3.1.2.22]	PPT; palmitoyl-protein thioesterase [EC:3.1.2.22]
K02350	POLZ1, rev3; DNA polymerase zeta [EC:2.7.7.7]	POLZ1, rev3; DNA polymerase zeta [EC:2.7.7.7]
K12392	AP1B1; AP-1 complex subunit beta-1	AP1B1; AP-1 complex subunit beta-1
K01180	E3.2.1.6; endo-1,3(4)-beta-glucanase [EC:3.2.1.6]	E3.2.1.6; endo-1,3(4)-beta-glucanase [EC:3.2.1.6]
K03178	UBE1, UBA1; ubiquitin-activating enzyme E1 [EC:6.2.1.45]	UBE1, UBA1; ubiquitin-activating enzyme E1 [EC:6.2.1.45]
K03941	NDUFS8; NADH dehydrogenase (ubiquinone) Fe-S protein 8 [EC:1.6.5.3 1.6.99.3]	NDUFS8; NADH dehydrogenase (ubiquinone) Fe-S protein 8 [EC:1.6.5.3 1.6.99.3]
K00615	E2.2.1.1, tktA, tktB; transketolase [EC:2.2.1.1]	Calvin cycle
K00615	E2.2.1.1, tktA, tktB; transketolase [EC:2.2.1.1]	E2.2.1.1, tktA, tktB; transketolase [EC:2.2.1.1]
K13606	NOL, NYC1; chlorophyll(ide) b reductase [EC:1.1.1.294]	NOL, NYC1; chlorophyll(ide) b reductase [EC:1.1.1.294]
K01136	IDS; iduronate 2-sulfatase [EC:3.1.6.13]	IDS; iduronate 2-sulfatase [EC:3.1.6.13]
K04650	NCOR1, N-CoR; nuclear receptor co-repressor 1	NCOR1, N-CoR; nuclear receptor co-repressor 1
K00671	E2.3.1.97, NMT; glycylpeptide N-tetradecanoyltransferase [EC:2.3.1.97]	E2.3.1.97, NMT; glycylpeptide N-tetradecanoyltransferase [EC:2.3.1.97]
K03193	UST; dermatan/chondrotin sulfate uronyl 2-O-sulfotransferase UST [EC:2.8.2.-]	UST; dermatan/chondrotin sulfate uronyl 2-O-sulfotransferase UST [EC:2.8.2.-]
K03008	RPB11, POLR2J; DNA-directed RNA polymerase II subunit RPB11	RPB11, POLR2J; DNA-directed RNA polymerase II subunit RPB11
K17435	MRPL54; large subunit ribosomal protein L54	MRPL54; large subunit ribosomal protein L54
K14401	CPSF1, CFT1; cleavage and polyadenylation specificity factor subunit 1	CPSF1, CFT1; cleavage and polyadenylation specificity factor subunit 1
K08498	STX6; syntaxin 6	STX6; syntaxin 6
K02470	gyrB; DNA gyrase subunit B [EC:5.99.1.3]	gyrB; DNA gyrase subunit B [EC:5.99.1.3]
K00294	E1.2.1.88; 1-pyrroline-5-carboxylate dehydrogenase [EC:1.2.1.88]	E1.2.1.88; 1-pyrroline-5-carboxylate dehydrogenase [EC:1.2.1.88]
K13600	CAO; chlorophyllide a oxygenase [EC:1.14.13.122]	CAO; chlorophyllide a oxygenase [EC:1.14.13.122]
K12326	RASGRF2; Ras-specific guanine nucleotide-releasing factor 2	RASGRF2; Ras-specific guanine nucleotide-releasing factor 2
K08857	NEK1_4_5; NIMA (never in mitosis gene a)-related kinase 1/4/5 [EC:2.7.11.1]	NEK1_4_5; NIMA (never in mitosis gene a)-related kinase 1/4/5 [EC:2.7.11.1]
K00324	pntA; NAD(P) transhydrogenase subunit alpha [EC:1.6.1.2]	pntA; NAD(P) transhydrogenase subunit alpha [EC:1.6.1.2]
K01915	glnA, GLUL; glutamine synthetase [EC:6.3.1.2]	GS/GOGAT
K01870	IARS, ileS; isoleucyl-tRNA synthetase [EC:6.1.1.5]	IARS, ileS; isoleucyl-tRNA synthetase [EC:6.1.1.5]
K03368	SIAT4B; beta-galactoside alpha-2,3-sialyltransferase (sialyltransferase 4B) [EC:2.4.99.4]	SIAT4B; beta-galactoside alpha-2,3-sialyltransferase (sialyltransferase 4B) [EC:2.4.99.4]
K08956	AFG3; AFG3 family protein [EC:3.4.24.-]	AFG3; AFG3 family protein [EC:3.4.24.-]
K04646	CLTC; clathrin heavy chain	CLTC; clathrin heavy chain
K10392	KIF1; kinesin family member 1	KIF1; kinesin family member 1
K08775	BRCA2, FANCD1; breast cancer 2 susceptibility protein	BRCA2, FANCD1; breast cancer 2 susceptibility protein
K12622	LSM3; U6 snRNA-associated Sm-like protein LSm3	LSM3; U6 snRNA-associated Sm-like protein LSm3
K02912	RP-L32e, RPL32; large subunit ribosomal protein L32e	RP-L32e, RPL32; large subunit ribosomal protein L32e
K00380	cysJ; sulfite reductase (NADPH) flavoprotein alpha-component [EC:1.8.1.2]	cysJ; sulfite reductase (NADPH) flavoprotein alpha-component [EC:1.8.1.2]
K03030	PSMD14, RPN11, POH1; 26S proteasome regulatory subunit N11	PSMD14, RPN11, POH1; 26S proteasome regulatory subunit N11
K15272	SLC35A1_2_3; solute carrier family 35 (UDP-sugar transporter), member A1/2/3	SLC35A1_2_3; solute carrier family 35 (UDP-sugar transporter), member A1/2/3
K16465	CETN1; centrin-1	CETN1; centrin-1
K10846	ERCC5, XPG, RAD2; DNA excision repair protein ERCC-5	ERCC5, XPG, RAD2; DNA excision repair protein ERCC-5
K04487	iscS, NFS1; cysteine desulfurase [EC:2.8.1.7]	iscS, NFS1; cysteine desulfurase [EC:2.8.1.7]
K01369	LGMN; legumain [EC:3.4.22.34]	LGMN; legumain [EC:3.4.22.34]
K03704	cspA; cold shock protein (beta-ribbon, CspA family)	cspA; cold shock protein (beta-ribbon, CspA family)
K00059	fabG; 3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]	Fatty acid biosynthesis
K00059	fabG; 3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]	fabG; 3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]
K17732	PMPCB, MAS1; mitochondrial-processing peptidase subunit beta [EC:3.4.24.64]	PMPCB, MAS1; mitochondrial-processing peptidase subunit beta [EC:3.4.24.64]
K14305	NUP43; nuclear pore complex protein Nup43	NUP43; nuclear pore complex protein Nup43
K11990	DHH; desert hedgehog	DHH; desert hedgehog
K04515	CAMK2; calcium/calmodulin-dependent protein kinase (CaM kinase) II [EC:2.7.11.17]	CAMK2; calcium/calmodulin-dependent protein kinase (CaM kinase) II [EC:2.7.11.17]
K03841	FBP, fbp; fructose-1,6-bisphosphatase I [EC:3.1.3.11]	Calvin cycle
K03841	FBP, fbp; fructose-1,6-bisphosphatase I [EC:3.1.3.11]	FBP, fbp; fructose-1,6-bisphosphatase I [EC:3.1.3.11]
K03841	FBP, fbp; fructose-1,6-bisphosphatase I [EC:3.1.3.11]	Gluconeogenesis
K18040	PTPN23; tyrosine-protein phosphatase non-receptor type 23 [EC:3.1.3.48]	PTPN23; tyrosine-protein phosphatase non-receptor type 23 [EC:3.1.3.48]
K00219	fadH; 2,4-dienoyl-CoA reductase (NADPH2) [EC:1.3.1.34]	fadH; 2,4-dienoyl-CoA reductase (NADPH2) [EC:1.3.1.34]
K10839	RAD23, HR23; UV excision repair protein RAD23	RAD23, HR23; UV excision repair protein RAD23
K12396	AP3D; AP-3 complex subunit delta	AP3D; AP-3 complex subunit delta
K04345	PKA; protein kinase A [EC:2.7.11.11]	PKA; protein kinase A [EC:2.7.11.11]
K06207	typA, bipA; GTP-binding protein	typA, bipA; GTP-binding protein
K02472	wecC; UDP-N-acetyl-D-mannosaminuronic acid dehydrogenase [EC:1.1.1.336]	wecC; UDP-N-acetyl-D-mannosaminuronic acid dehydrogenase [EC:1.1.1.336]
K10807	RRM1; ribonucleoside-diphosphate reductase subunit M1 [EC:1.17.4.1]	RRM1; ribonucleoside-diphosphate reductase subunit M1 [EC:1.17.4.1]
K15032	MTERFD; mTERF domain-containing protein, mitochondrial	MTERFD; mTERF domain-containing protein, mitochondrial
K02938	RP-L8e, RPL8; large subunit ribosomal protein L8e	RP-L8e, RPL8; large subunit ribosomal protein L8e
K12838	PUF60; poly(U)-binding-splicing factor PUF60	PUF60; poly(U)-binding-splicing factor PUF60
K02054	ABC.SP.P1; putative spermidine/putrescine transport system permease protein	ABC.SP.P1; putative spermidine/putrescine transport system permease protein
K05991	E3.2.1.123; endoglycosylceramidase [EC:3.2.1.123]	E3.2.1.123; endoglycosylceramidase [EC:3.2.1.123]
